desmatamento_pct,poluicao_mgL,dist_area_protegida_km,emissao_co2_ton,risco_socioambiental
24.0,14.1,14.6,491.6,0
12.3,20.1,4.1,1515.1,1
17.5,67.8,16.3,273.5,1
68.7,77.5,5.2,114.1,1
30.2,38.8,5.7,909.1,1
4.2,73.7,17.3,1369.9,1
30.7,64.6,12.0,820.1,1
35.7,98.9,8.5,1290.0,1
37.2,71.1,11.0,331.3,1
20.6,34.0,14.2,1356.2,1
21.9,70.7,2.2,1013.9,1
47.7,54.5,2.8,1963.1,1
33.8,85.4,6.7,980.9,1
69.0,57.6,18.6,1054.2,1
34.6,77.4,6.1,1597.6,1
48.8,68.6,18.1,1168.2,1
38.6,69.1,10.4,1642.1,1
6.4,72.0,3.3,1605.4,1
29.6,12.9,19.7,1635.1,1
50.4,85.0,18.0,989.2,1
8.1,68.3,15.3,1979.2,1
8.4,35.1,15.0,559.2,0
59.5,70.7,5.9,226.9,1
37.2,19.5,9.0,998.5,1
61.3,5.3,8.0,1125.1,1
30.4,99.6,15.6,1085.6,1
16.0,9.1,1.0,1429.7,1
24.0,37.2,18.2,1800.5,1
36.4,86.2,15.0,696.0,1
25.3,39.0,14.8,295.0,0
27.4,59.4,7.9,1206.1,1
12.8,57.9,8.6,161.2,1
43.7,53.7,8.8,892.9,1
42.9,41.6,11.5,189.9,1
47.9,28.1,11.3,1148.0,1
44.2,42.8,16.8,193.3,1
8.400234136956932,35.09964083936725,14.99919953614556,559.1984611828424,0
8.4,35.09957709847726,15.0,559.2,0
8.40191328024464,35.10036878089493,15.0,559.2,0
8.4,35.0990963345087,15.0,559.2,0
8.40022577630047,35.101508047083286,15.0,559.1998011674593,0
8.4,35.09951550391208,14.99967588423344,559.2,0
8.400291693749775,35.09937292910608,14.998188152914548,559.2,0
8.401057710928939,35.099978416632666,15.0,559.1991445701157,0
8.401959670123862,35.10028418511744,14.999831360506947,559.2,0
8.4,35.100754425261286,15.0,559.2,0
8.400719844208377,35.09851662487204,14.99901124197776,559.2,0
8.401763040155345,35.100336142472486,15.0,559.1996443546154,0
8.4,35.09922760038335,14.999067050018793,559.1990400681079,0
8.400309212375834,35.0991077896676,14.999047693633866,559.199749434408,0
8.400185658976646,35.099633343042704,15.0,559.2,0
8.4,35.10077944047041,14.99896931817775,559.2,0
8.400645119754587,35.100283785085736,14.99844043329865,559.1996621219034,0
8.4,35.10009855931607,14.999250830600031,559.2,0
8.400299007350448,35.10015138248156,15.0,559.1998451338725,0
8.4,35.09970706439058,15.0,559.198523874988,0
8.400501757043568,35.099124881059204,14.999676939267319,559.1991458929576,0
8.4,35.0994312976854,14.999049412143904,559.1999638967145,0
8.40032766214658,35.09937595359282,15.0,559.2,0
8.4,35.100303334710375,15.0,559.1999698919512,0
8.400420645322749,35.098638009450006,15.0,559.2,0
8.4,35.0997153416936,14.99978080098971,559.1981331552838,0
8.400074445915749,35.10037747161935,15.0,559.2,0
8.4,35.10006140723516,14.999701714811886,559.2,0
8.401168678037601,35.0998675274246,14.999219373107824,559.1988838795528,0
8.400909387454778,35.10075109471957,15.0,559.1985110324364,0
8.4,35.1006671373921,15.0,559.2,0
8.400503475654098,35.10019366324599,14.99996956591405,559.2,0
8.4,35.09894295424265,14.998515860520572,559.2,0
8.400322061516189,35.099211558102986,15.0,559.199200499953,0
8.4,35.100320581743446,14.999850405593884,559.2,0
8.4,35.1003830369318,15.0,559.2,0
8.4,35.10049272863467,14.99962780832365,559.199728176754,0
8.4,35.09932870970518,15.0,559.1997284778337,0
8.4,35.101912043170536,14.999306998133079,559.2,0
8.4,35.09898460041813,15.0,559.1988799254397,0
8.4,35.10084256634935,14.998047326867798,559.1991760766542,0
8.40075373616434,35.09983955678382,15.0,559.2,0
8.4,35.099876593903794,14.999169096300392,559.1997528065988,0
8.4,35.09993328513182,14.997289334121753,559.2,0
8.400857157556398,35.10067377357417,14.999523659156536,559.2,0
8.4,35.09975017830324,15.0,559.1995394375385,0
8.401514847224668,35.09915294491221,14.999187938484152,559.2,0
8.401245738778695,35.1001891191918,14.999602482163722,559.1998253267363,0
8.4,35.09915520257604,15.0,559.199962798973,0
8.4,35.10025206970948,14.998904870045768,559.1989282435898,0
8.400937825039898,35.098575591800504,14.999523994410032,559.1995856448649,0
8.4,35.10043797040241,14.998831149019134,559.1994319606263,0
8.4,35.10094436889574,14.999214926421839,559.2,0
8.400236818606723,35.09925653302628,14.99995995096468,559.2,0
8.401867265192575,35.10232293787553,15.0,559.1991263046751,0
8.4,35.09956338344815,15.0,559.1999333776503,0
8.4,35.09932442492806,14.999829971104838,559.2,0
8.400651600347588,35.0998893519276,14.999307328228218,559.197876703223,0
8.4,35.09799119108494,14.999241410201638,559.2,0
8.40011473644145,35.09914741586514,14.999150958074681,559.1995700448485,0
8.400334501235823,35.0988555089677,15.0,559.2,0
8.4,35.10180707976239,14.999051559667592,559.2,0
8.4,35.10222856075755,15.0,559.2,0
8.400707669465602,35.101208585894035,14.999167230398536,559.1995020919862,0
8.400059525356044,35.099313788262144,15.0,559.2,0
8.401247783181947,35.09969686182281,15.0,559.1983451328005,0
8.4,35.099521988616814,15.0,559.1985471619678,0
8.4,35.10120503387806,14.999521660062232,559.2,0
8.400600216877141,35.10020781986662,15.0,559.1999069094752,0
8.4,35.100058097774074,15.0,559.1983745753997,0
8.401952087799506,35.10211620748184,14.99933725773752,559.2,0
8.400622699519802,35.100310679281044,15.0,559.2,0
8.4,35.09941439103792,15.0,559.1996597470477,0
8.4,35.1008243350986,14.999315772604813,559.1991522018179,0
8.400560181040179,35.09910495675674,14.999400903240797,559.1993230856857,0
8.4,35.099920400706154,15.0,559.1987093113609,0
8.400202192652417,35.1005204104279,14.99888794349537,559.2,0
8.4,35.10074114617365,14.999913245511932,559.1986475192283,0
8.400310266756575,35.100664586873656,15.0,559.1996309563015,0
8.4,35.10007377956055,14.99792824555015,559.2,0
8.401214188612771,35.0988963624427,14.999215306701613,559.1989293636656,0
8.4,35.10065500510012,15.0,559.199947763061,0
8.400677161711494,35.10002000530194,15.0,559.1990181926976,0
8.400321385841636,35.0991708113653,15.0,559.1996222124619,0
8.4,35.09918254548926,15.0,559.1997912448014,0
8.4,35.09967023818411,15.0,559.2,0
8.400213447151694,35.09921184807079,14.998544475641214,559.1997769149075,0
8.400159938529946,35.1008920887759,15.0,559.1999371210974,0
8.400288658638903,35.09999066234434,15.0,559.1996550316836,0
8.4,35.10051058758266,14.999582372531595,559.2,0
8.400401220471869,35.100673949817704,14.999955784140841,559.1997344602859,0
8.400773009783839,35.100078287068854,14.999498241675003,559.1999840819235,0
8.4,35.10134028094797,15.0,559.1977403958797,0
8.4,35.1007621115958,15.0,559.1977381692692,0
8.400599392645427,35.09931346625404,15.0,559.2,0
8.4,35.099155167782406,14.998144761159528,559.1997603253611,0
8.400576903655645,35.100986605584566,14.999497530440442,559.2,0
8.4,35.09862620866957,15.0,559.1988905780246,0
8.4,35.09825464525958,14.998830122237798,559.2,0
8.400599375022937,35.09840768594287,15.0,559.2,0
8.4,35.09962269914383,15.0,559.2,0
8.4,35.10011538068803,15.0,559.1992498436209,0
8.4,35.098475577585525,15.0,559.1997407193207,0
8.4,35.10147123813671,14.999843254296458,559.1987302511361,0
8.4,35.10203661566765,14.998959705155707,559.2,0
8.4,35.10067962507475,14.999316709612717,559.2,0
8.401758739486406,35.101201592445776,15.0,559.2,0
8.4,35.099634985744444,14.999895524529446,559.1985197985732,0
8.401380101458198,35.101732605505234,15.0,559.2,0
8.400032694748077,35.100515145453834,15.0,559.2,0
8.4,35.09870926138969,15.0,559.1996868453183,0
8.401059213521872,35.099457589276625,14.999066612674046,559.2,0
8.4,35.09907791067246,15.0,559.2,0
8.401035242322402,35.09997012555469,15.0,559.2,0
8.4,35.10199573612333,14.999732199388665,559.2,0
8.400220969599516,35.09982287840351,14.999230918430344,559.1994162382869,0
8.400575818240627,35.09956941141761,15.0,559.2,0
8.4,35.09839493986242,15.0,559.1984445053326,0
8.4,35.100343499465126,14.998777310161483,559.1969255227061,0
8.400955540440583,35.09996538797688,14.999844751356258,559.2,0
8.40142225370958,35.09932415645694,15.0,559.2,0
8.4,35.101630967071515,14.998459237259079,559.1999476387373,0
8.40086128420131,35.09996313779479,14.999417774154344,559.1984913678078,0
8.400190338678065,35.099068918327085,15.0,559.2,0
8.4,35.10099109668285,14.999440921814895,559.2,0
8.400487125383748,35.09941852142034,15.0,559.2,0
8.400830950116394,35.10003330872244,15.0,559.1997257260577,0
8.400907563662024,35.09977092072653,14.999269797561022,559.2,0
8.400977555244781,35.10046686527454,14.999228145225345,559.1998920900031,0
8.4,35.098356031205896,14.999509774139874,559.2,0
8.401804882100647,35.09933849060162,15.0,559.2,0
8.400904316625088,35.100277986429234,15.0,559.1992984843594,0
8.401211016199746,35.09997305984076,14.999972654099896,559.2,0
8.400384555544212,35.099099451178965,15.0,559.1990319789463,0
8.40112970685464,35.1007495315276,14.998514678856676,559.199462210587,0
8.400796895255453,35.09750591009569,15.0,559.1995699433332,0
8.400603985186699,35.10037029650207,15.0,559.1998863036779,0
8.4,35.1011582905023,15.0,559.199579532977,0
8.400432558187802,35.09950393802852,15.0,559.199624087313,0
8.4,35.100246238127816,15.0,559.1991036025685,0
8.400408075373004,35.10136085859295,15.0,559.2,0
8.400351513484024,35.09807359296108,14.998394230950517,559.2,0
8.400219100528792,35.10035255472385,15.0,559.1990879572328,0
8.4,35.10028676309387,14.998888520382247,559.2,0
8.400415287913884,35.10021787553398,14.997702098157216,559.1994141534872,0
8.4,35.10024009294601,15.0,559.2,0
8.400856083825891,35.100840627272746,15.0,559.1998637344868,0
8.4,35.10043108546829,15.0,559.1989205990504,0
8.400978763715765,35.09974518206695,14.999645071019932,559.2,0
8.400922165324161,35.10065288048272,14.998594289395665,559.1991255144367,0
8.4,35.10050463288349,15.0,559.2,0
8.4,35.09818701777505,15.0,559.1994546271831,0
8.401125489047281,35.10012217256967,14.99979467339859,559.1975464926845,0
8.4,35.10007120309278,14.999759341225896,559.199519922263,0
8.4,35.09904662968419,14.998634642992664,559.1982100540627,0
8.400511215676413,35.101655243334015,15.0,559.2,0
8.4,35.10010703086633,14.99851556208526,559.2,0
8.40042688106993,35.09996402536846,15.0,559.2,0
8.4,35.10094728372269,15.0,559.2,0
